file_name,duration,rmse,zcr,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
10029.wav,2.06,0.04433073,0.08874648876404495,1362.7679153256918,1085.5606061107553,-415.5055,96.4314,-23.267555,37.79555,-8.69292,5.710124,0.46442387,-5.9148703,5.6383953,-4.154702,-1.5987694,-8.085578,-0.50312644
1003.wav,4.650022675736961,0.061058894,0.21456195584577115,3011.816504617451,2764.599591514294,-229.30225,55.41852,13.030537,29.58356,6.7467775,0.06500389,-0.44216728,-2.6429086,0.22699153,0.92466587,-2.7989388,-7.42767,-2.1332598
10030.wav,2.0299773242630383,0.041829698,0.11775346235795454,1595.1621122676688,1240.7745192392185,-404.13458,101.02119,-15.566016,33.49319,-8.187054,12.372977,-8.441943,-6.252251,-3.4316115,5.2867746,-7.053923,-2.0346963,-2.6070032
10031.wav,2.84,0.051934715,0.12724291793699186,1616.42676828246,1249.040529362094,-366.29208,90.167366,-20.56319,55.5544,-12.911433,9.516708,-1.0863444,-5.325095,3.2593508,-3.4181812,0.32110968,-12.713609,4.4411216
10032.wav,1.9900226757369615,0.04455135,0.06397052143895349,1050.4395486660826,1123.1024289667278,-419.1239,92.97814,-6.0218782,44.989628,-2.883521,1.7809967,4.4177976,-5.675496,0.486979,-4.3100367,-1.8267338,-6.7175436,-3.6692877
10033.wav,2.0700226757369613,0.03994797,0.09216579861111111,1340.6687574156044,1201.5442141371361,-416.08603,92.87817,-20.885796,42.44499,-7.5229535,5.240612,-1.6348805,-4.0002437,6.0217395,-0.46024552,2.3292298,-10.462465,-1.0879512
10034.wav,2.8700226757369616,0.047489498,0.09867612777217742,1352.5465886152979,1227.2186873040182,-359.6444,128.21727,-27.139832,35.309177,2.6344702,14.1173,-5.63102,-0.0048869965,-7.705843,2.9781415,-8.530584,-2.8214042,3.703396
10035.wav,2.08,0.04252755,0.09670138888888889,1299.0584978222546,1155.1056873498487,-408.12964,116.1477,-27.461208,29.43814,9.284434,6.297506,-7.31551,-9.152864,-4.408312,6.6071024,-9.323015,-1.9007192,3.2435064
10036.wav,2.06,0.04952746,0.07007110252808989,1046.5677475906245,1011.3664390172988,-412.9634,110.181335,-26.823654,37.081505,7.4876986,2.5084891,-5.2163215,-12.710949,5.5002923,-2.2036111,-5.2118077,-2.2057955,-2.7381942
10037.wav,2.4100226757369616,0.048406485,0.092529296875,1221.0942859639,1120.6363563112145,-384.32373,134.16324,-24.473335,28.715977,2.560551,8.907061,-2.5740843,-6.8134055,-7.0045753,6.1118093,-13.360249,-2.1251383,5.8086195
10038.wav,2.5,0.050862476,0.3082320601851852,3664.468687064226,3047.5749068154983,-184.5426,50.96743,12.38637,13.971782,10.421864,-0.32143262,-4.8476014,-1.7663344,-0.80338186,-2.756303,-2.8052862,-0.09324044,-0.1595584
10039.wav,2.98,0.053174794,0.1283119852228682,1686.801246093828,1354.6476010169833,-349.45895,104.53626,-19.123663,51.15565,-2.6593804,16.59644,-7.7821717,-0.16554287,-7.0554433,4.6460805,-12.278322,-2.29355,1.2025173
1004.wav,2.5900226757369613,0.051739354,0.32056971958705355,4141.0160102026375,3143.575514234708,-188.30623,28.922007,9.329313,9.022265,1.7124405,0.6102777,-2.7636278,-1.8423876,-1.4382045,-1.8466843,-1.8520986,-4.846149,-2.2998712
10040.wav,2.14,0.039427344,0.12452221942204302,1677.0969014884936,1188.2540085482815,-412.30917,80.843636,-31.289103,42.43781,-9.766569,8.654303,-5.4611115,-5.1882844,6.462331,-6.050152,-1.3704683,-12.18362,1.2286136
10041.wav,2.2700226757369615,0.04336001,0.11861248405612244,1550.8456951456776,1205.9800368656915,-391.34427,113.42442,-24.68319,27.33361,-5.4812274,16.013933,-6.797492,-9.338989,-6.410134,5.689118,-6.228151,-0.67521465,0.5883739
10042.wav,2.2900226757369615,0.05957641,0.31605606849747475,3792.6876241078803,3090.910318033617,-164.8989,47.728546,17.96536,12.940039,2.8695576,0.63411933,-4.675604,-2.8396003,0.76444507,-3.8627858,-5.060528,-2.400502,-1.3366016
